Date;Temp;Origine;Site
1/12/1893 00:00:00;5.40;11;19
2/12/1893 00:00:00;5.20;11;19
3/12/1893 00:00:00;4.60;11;19
4/12/1893 00:00:00;4.20;11;19
5/12/1893 00:00:00;4.20;11;19
6/12/1893 00:00:00;4.20;11;19
7/12/1893 00:00:00;4.20;11;19
8/12/1893 00:00:00;4.20;11;19
9/12/1893 00:00:00;4.40;11;19
10/12/1893 00:00:00;4.80;11;19
11/12/1893 00:00:00;4.50;11;19
12/12/1893 00:00:00;4.60;11;19
13/12/1893 00:00:00;5.20;11;19
14/12/1893 00:00:00;6.30;11;19
15/12/1893 00:00:00;6.40;11;19
16/12/1893 00:00:00;6.10;11;19
17/12/1893 00:00:00;6.30;11;19
18/12/1893 00:00:00;6.00;11;19
19/12/1893 00:00:00;5.50;11;19
20/12/1893 00:00:00;5.60;11;19
21/12/1893 00:00:00;5.40;11;19
22/12/1893 00:00:00;5.10;11;19
23/12/1893 00:00:00;5.10;11;19
24/12/1893 00:00:00;5.00;11;19
25/12/1893 00:00:00;4.90;11;19
26/12/1893 00:00:00;5.00;11;19
27/12/1893 00:00:00;5.10;11;19
28/12/1893 00:00:00;4.70;11;19
29/12/1893 00:00:00;4.30;11;19
30/12/1893 00:00:00;3.40;11;19
31/12/1893 00:00:00;2.50;11;19
1/1/1894 00:00:00;2.40;11;19
2/1/1894 00:00:00;2.10;11;19
3/1/1894 00:00:00;1.30;11;19
4/1/1894 00:00:00;0.00;11;19
5/1/1894 00:00:00;0.00;11;19
6/1/1894 00:00:00;0.00;11;19
7/1/1894 00:00:00;0.10;11;19
9/1/1894 00:00:00;0.10;11;19
10/1/1894 00:00:00;0.30;11;19
11/1/1894 00:00:00;0.20;11;19
12/1/1894 00:00:00;0.40;11;19
13/1/1894 00:00:00;0.80;11;19
14/1/1894 00:00:00;1.30;11;19
15/1/1894 00:00:00;1.40;11;19
16/1/1894 00:00:00;2.70;11;19
17/1/1894 00:00:00;3.10;11;19
18/1/1894 00:00:00;5.20;11;19
19/1/1894 00:00:00;5.60;11;19
20/1/1894 00:00:00;6.10;11;19
21/1/1894 00:00:00;6.20;11;19
22/1/1894 00:00:00;6.20;11;19
23/1/1894 00:00:00;6.20;11;19
24/1/1894 00:00:00;5.80;11;19
25/1/1894 00:00:00;5.10;11;19
26/1/1894 00:00:00;4.30;11;19
27/1/1894 00:00:00;3.80;11;19
28/1/1894 00:00:00;4.00;11;19
29/1/1894 00:00:00;3.80;11;19
30/1/1894 00:00:00;3.80;11;19
31/1/1894 00:00:00;4.30;11;19
1/2/1894 00:00:00;4.20;11;19
2/2/1894 00:00:00;4.80;11;19
3/2/1894 00:00:00;5.50;11;19
4/2/1894 00:00:00;5.70;11;19
5/2/1894 00:00:00;5.70;11;19
6/2/1894 00:00:00;6.30;11;19
7/2/1894 00:00:00;6.60;11;19
8/2/1894 00:00:00;6.90;11;19
9/2/1894 00:00:00;7.00;11;19
10/2/1894 00:00:00;7.30;11;19
11/2/1894 00:00:00;7.70;11;19
12/2/1894 00:00:00;8.00;11;19
13/2/1894 00:00:00;7.80;11;19
14/2/1894 00:00:00;7.30;11;19
15/2/1894 00:00:00;7.10;11;19
16/2/1894 00:00:00;6.60;11;19
17/2/1894 00:00:00;6.30;11;19
1/4/1894 00:00:00;11.80;11;19
2/4/1894 00:00:00;12.10;11;19
3/4/1894 00:00:00;12.40;11;19
4/4/1894 00:00:00;12.60;11;19
5/4/1894 00:00:00;13.00;11;19
6/4/1894 00:00:00;13.40;11;19
7/4/1894 00:00:00;13.80;11;19
22/4/1894 00:00:00;13.20;11;19
23/4/1894 00:00:00;13.60;11;19
24/4/1894 00:00:00;13.90;11;19
25/4/1894 00:00:00;14.40;11;19
26/4/1894 00:00:00;14.60;11;19
27/4/1894 00:00:00;14.60;11;19
28/4/1894 00:00:00;14.50;11;19
29/4/1894 00:00:00;14.20;11;19
30/4/1894 00:00:00;13.80;11;19
1/5/1894 00:00:00;14.00;11;19
2/5/1894 00:00:00;14.30;11;19
3/5/1894 00:00:00;13.30;11;19
4/5/1894 00:00:00;13.10;11;19
5/5/1894 00:00:00;13.30;11;19
6/5/1894 00:00:00;13.70;11;19
7/5/1894 00:00:00;14.20;11;19
8/5/1894 00:00:00;14.30;11;19
9/5/1894 00:00:00;14.80;11;19
10/5/1894 00:00:00;15.10;11;19
11/5/1894 00:00:00;15.10;11;19
12/5/1894 00:00:00;15.20;11;19
13/5/1894 00:00:00;14.60;11;19
14/5/1894 00:00:00;14.90;11;19
15/5/1894 00:00:00;15.80;11;19
16/5/1894 00:00:00;16.50;11;19
17/5/1894 00:00:00;17.60;11;19
18/5/1894 00:00:00;18.30;11;19
19/5/1894 00:00:00;18.20;11;19
20/5/1894 00:00:00;17.10;11;19
21/5/1894 00:00:00;16.40;11;19
22/5/1894 00:00:00;15.10;11;19
23/5/1894 00:00:00;14.80;11;19
24/5/1894 00:00:00;15.00;11;19
25/5/1894 00:00:00;15.30;11;19
26/5/1894 00:00:00;15.10;11;19
27/5/1894 00:00:00;14.30;11;19
28/5/1894 00:00:00;14.20;11;19
29/5/1894 00:00:00;14.40;11;19
30/5/1894 00:00:00;14.70;11;19
31/5/1894 00:00:00;15.40;11;19
1/6/1894 00:00:00;15.70;11;19
2/6/1894 00:00:00;16.10;11;19
4/6/1894 00:00:00;17.50;11;19
5/6/1894 00:00:00;17.80;11;19
6/6/1894 00:00:00;18.00;11;19
7/6/1894 00:00:00;17.70;11;19
8/6/1894 00:00:00;17.20;11;19
9/6/1894 00:00:00;16.40;11;19
10/6/1894 00:00:00;17.10;11;19
11/6/1894 00:00:00;17.00;11;19
12/6/1894 00:00:00;16.70;11;19
13/6/1894 00:00:00;16.60;11;19
14/6/1894 00:00:00;16.30;11;19
15/6/1894 00:00:00;16.70;11;19
16/6/1894 00:00:00;17.00;11;19
17/6/1894 00:00:00;17.00;11;19
18/6/1894 00:00:00;17.20;11;19
19/6/1894 00:00:00;16.90;11;19
20/6/1894 00:00:00;17.00;11;19
21/6/1894 00:00:00;18.30;11;19
22/6/1894 00:00:00;18.90;11;19
23/6/1894 00:00:00;19.30;11;19
24/6/1894 00:00:00;19.80;11;19
25/6/1894 00:00:00;19.40;11;19
